0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,81,23,2,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0
,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,69,53,0,63,0,10,0,0,14,0,0,67,36,0,72,0,0,25,33,21,0,49,0,27,54,44,0,0,7,0,31,78,0,0,38,0,0,64,0,34,0,70,41,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
,3,33,0,73,12,18,39,0,64,0,0,77,11,9,0,0,21,42,0,0,0,23,54,29,24,0,66,0,53,0,0,0,44,0,41,35,34,0,40,0,0,0,47,0,38,5,71,0,68,0,0,0,67,0,19,0,2,50,63,30,0,0,0,45,56,0,0,51,31,69,0,0,16,0,6,62,79,22,0,80,25
,0,0,0,66,0,0,0,0,38,25,8,0,54,73,56,0,0,74,71,0,62,50,40,48,45,0,31,59,32,0,26,70,5,16,0,68,14,57,13,19,0,39,43,41,28,63,0,29,6,76,47,0,51,72,60,0,22,67,9,55,33,0,44,42,0,0,52,23,75,0,35,53,69,0,0,0,0,11,0,0,0
,29,0,46,0,36,49,8,0,0,43,0,0,0,1,7,0,68,79,0,60,0,70,0,5,80,76,22,17,33,39,50,0,56,30,47,81,0,73,0,58,67,53,0,78,0,14,62,45,27,0,57,12,15,21,20,59,4,51,0,40,0,10,0,19,3,0,18,9,0,0,0,72,0,0,64,71,23,0,2,0,54
,0,78,68,0,26,0,23,31,43,62,75,61,59,16,46,0,27,10,0,25,30,0,0,0,51,6,47,0,29,0,19,24,79,0,21,0,72,37,22,3,66,50,45,17,71,0,52,0,44,69,13,0,53,0,8,56,38,0,0,0,28,57,0,55,40,0,63,73,15,5,60,7,67,48,42,0,41,0,4,58,0
,0,17,19,0,79,0,60,47,15,0,0,26,67,0,39,65,0,5,0,21,0,0,57,0,0,4,32,1,46,54,25,73,0,0,55,40,0,10,0,0,0,0,0,30,0,80,42,0,0,41,49,16,74,20,27,43,0,0,68,0,0,53,0,44,0,61,13,0,8,81,0,0,36,28,59,0,56,0,63,18,0
,24,81,0,0,0,11,0,7,0,0,2,0,70,22,57,30,49,0,43,8,68,0,0,0,0,1,55,15,60,0,4,51,0,71,28,63,6,80,20,42,5,65,31,56,48,79,46,61,0,37,17,0,25,77,74,18,0,0,0,0,32,23,62,0,16,59,50,33,54,0,36,0,0,29,0,27,0,0,0,75,76
,0,0,0,0,0,0,17,43,0,49,0,0,14,78,0,39,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,46,0,64,0,0,0,0,0,0,75,0,0,0,0,0,0,22,0,12,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,70,0,13,36,0,0,32,0,74,38,0,0,0,0,0,0
,0,0,0,19,65,78,0,12,0,0,0,0,0,0,44,0,0,62,0,0,0,0,0,0,21,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,35,0,0,0,0,0,0,75,0,0,23,0,0,0,0,0,0,60,0,31,54,51,0,0,0
